,hidden_size,dropout,random_seed,epochs_trained,val_error
0,5.0,0.3,0.0,44.0,0.8922284649064144
1,5.0,0.3,10.0,226.0,0.4753925396750371
2,5.0,0.3,100.0,137.0,0.6515976612766584
3,5.0,0.3,1000.0,51.0,0.716277456531922
4,5.0,0.3,10000.0,300.0,0.4681548550724983
5,10.0,0.3,0.0,143.0,0.5731841654827198
6,10.0,0.3,10.0,129.0,0.4647342109431823
7,10.0,0.3,100.0,95.0,0.4832222815603018
8,10.0,0.3,1000.0,99.0,0.5732936424513658
9,10.0,0.3,10000.0,94.0,0.4591483399271965
10,15.0,0.3,0.0,121.0,0.5634684767574072
11,15.0,0.3,10.0,162.0,0.382668465996782
12,15.0,0.3,100.0,109.0,0.45114179824789363
13,15.0,0.3,1000.0,133.0,0.561540832122167
14,15.0,0.3,10000.0,50.0,0.6336565973858038
15,20.0,0.3,0.0,70.0,0.390032509341836
16,20.0,0.3,10.0,80.0,0.5550957204153141
17,20.0,0.3,100.0,48.0,0.4693357323606809
18,20.0,0.3,1000.0,83.0,0.4470918010920286
19,20.0,0.3,10000.0,79.0,0.3763859986017148
20,25.0,0.3,0.0,98.0,0.4586960182835658
21,25.0,0.3,10.0,91.0,0.43581315875053406
22,25.0,0.3,100.0,90.0,0.40177107478181523
23,25.0,0.3,1000.0,105.0,0.40659759504099685
24,25.0,0.3,10000.0,69.0,0.3767479918897152
25,30.0,0.3,0.0,84.0,0.39214737092455226
26,30.0,0.3,10.0,48.0,0.410063690195481
27,30.0,0.3,100.0,127.0,0.3793075581391652
28,30.0,0.3,1000.0,69.0,0.4202991643299659
29,30.0,0.3,10000.0,86.0,0.39401996197799843
30,35.0,0.3,0.0,82.0,0.39968384491900605
31,35.0,0.3,10.0,47.0,0.3969815522432327
32,35.0,0.3,100.0,58.0,0.3839525965352853
33,35.0,0.3,1000.0,89.0,0.4004026210556428
34,35.0,0.3,10000.0,118.0,0.36150004838903743
35,40.0,0.3,0.0,64.0,0.3986481682707866
36,40.0,0.3,10.0,91.0,0.3901574295014143
37,40.0,0.3,100.0,48.0,0.3876699258883794
38,40.0,0.3,1000.0,65.0,0.37859281214574975
39,40.0,0.3,10000.0,101.0,0.40627082375188667
40,45.0,0.3,0.0,82.0,0.4462771024554968
41,45.0,0.3,10.0,55.0,0.3549613306919734
42,45.0,0.3,100.0,68.0,0.3886943180114031
43,45.0,0.3,1000.0,61.0,0.4189513213932514
44,45.0,0.3,10000.0,92.0,0.38997900548080605
45,50.0,0.3,0.0,93.0,0.4173467730482419
46,50.0,0.3,10.0,72.0,0.40414266660809517
47,50.0,0.3,100.0,48.0,0.3867539217074712
48,50.0,0.3,1000.0,71.0,0.4376693746695916
49,50.0,0.3,10000.0,99.0,0.360348092392087
50,5.0,0.5,0.0,107.0,0.7615198753774166
51,5.0,0.5,10.0,175.0,0.5709627463171879
52,5.0,0.5,100.0,133.0,0.6795675779382387
53,5.0,0.5,1000.0,132.0,0.6876740790903568
54,5.0,0.5,10000.0,199.0,0.6824027548233668
55,10.0,0.5,0.0,135.0,0.589863482862711
56,10.0,0.5,10.0,150.0,0.5078267641365528
57,10.0,0.5,100.0,107.0,0.4474036094422142
58,10.0,0.5,1000.0,122.0,0.5281365942209959
59,10.0,0.5,10000.0,96.0,0.5391559215883414
60,15.0,0.5,0.0,103.0,0.5505547703554233
61,15.0,0.5,10.0,137.0,0.4172914332399766
62,15.0,0.5,100.0,118.0,0.6100883620480696
63,15.0,0.5,1000.0,113.0,0.40933195191125077
64,15.0,0.5,10000.0,94.0,0.4689466990530491
65,20.0,0.5,0.0,70.0,0.42123206332325935
66,20.0,0.5,10.0,116.0,0.40216793802877265
67,20.0,0.5,100.0,94.0,0.38393578367928666
68,20.0,0.5,1000.0,108.0,0.4626067963739236
69,20.0,0.5,10000.0,164.0,0.38948591736455757
70,25.0,0.5,0.0,48.0,0.5754139044632515
71,25.0,0.5,10.0,79.0,0.4219452825685342
72,25.0,0.5,100.0,110.0,0.415124640489618
73,25.0,0.5,1000.0,137.0,0.4117219603310029
74,25.0,0.5,10000.0,107.0,0.4066106528043747
75,30.0,0.5,0.0,83.0,0.40792881697416306
76,30.0,0.5,10.0,123.0,0.37321033018330735
77,30.0,0.5,100.0,44.0,0.4383425364891688
78,30.0,0.5,1000.0,95.0,0.4195992797613144
79,30.0,0.5,10000.0,56.0,0.4240326837946971
80,35.0,0.5,0.0,124.0,0.37747656429807347
81,35.0,0.5,10.0,93.0,0.4632872585207224
82,35.0,0.5,100.0,124.0,0.3851611694941918
83,35.0,0.5,1000.0,125.0,0.3663504521052043
84,35.0,0.5,10000.0,111.0,0.37085863451162976
85,40.0,0.5,0.0,109.0,0.3670305361350377
86,40.0,0.5,10.0,86.0,0.4048349882165591
87,40.0,0.5,100.0,128.0,0.37531497826178867
88,40.0,0.5,1000.0,120.0,0.3731434841950734
89,40.0,0.5,10000.0,120.0,0.3752875129381816
90,45.0,0.5,0.0,109.0,0.4129036348313093
91,45.0,0.5,10.0,93.0,0.4082293963680665
92,45.0,0.5,100.0,120.0,0.3868813378115495
93,45.0,0.5,1000.0,122.0,0.48560997284948826
94,45.0,0.5,10000.0,115.0,0.3806599186112483
95,50.0,0.5,0.0,86.0,0.368961409976085
96,50.0,0.5,10.0,95.0,0.3643465004861355
97,50.0,0.5,100.0,95.0,0.38873931765556335
98,50.0,0.5,1000.0,100.0,0.4508313654611508
99,50.0,0.5,10000.0,91.0,0.3942415378987789
100,5.0,0.7,0.0,34.0,0.9819316224505504
101,5.0,0.7,10.0,63.0,0.9189551112552484
102,5.0,0.7,100.0,108.0,0.896286316215992
103,5.0,0.7,1000.0,19.0,0.967137503127257
104,5.0,0.7,10000.0,242.0,0.733217554166913
105,10.0,0.7,0.0,96.0,0.76045864696304
106,10.0,0.7,10.0,177.0,0.5772171809027592
107,10.0,0.7,100.0,155.0,0.5570934849480788
108,10.0,0.7,1000.0,70.0,0.8607671695450941
109,10.0,0.7,10000.0,165.0,0.47821607689062756
110,15.0,0.7,0.0,153.0,0.400400906180342
111,15.0,0.7,10.0,126.0,0.5170101672410965
112,15.0,0.7,100.0,86.0,0.535357433060805
113,15.0,0.7,1000.0,128.0,0.4246038018415372
114,15.0,0.7,10000.0,135.0,0.44307283125817776
115,20.0,0.7,0.0,143.0,0.44225195174415904
116,20.0,0.7,10.0,99.0,0.4475121224919955
117,20.0,0.7,100.0,138.0,0.4572703701754411
118,20.0,0.7,1000.0,57.0,0.5219441478451093
119,20.0,0.7,10000.0,107.0,0.46881777917345363
120,25.0,0.7,0.0,91.0,0.4429186750203371
121,25.0,0.7,10.0,110.0,0.40981863749523956
122,25.0,0.7,100.0,117.0,0.4006065769741933
123,25.0,0.7,1000.0,106.0,0.43632501053313416
124,25.0,0.7,10000.0,142.0,0.39824139202634495
125,30.0,0.7,0.0,136.0,0.3851907706509034
126,30.0,0.7,10.0,134.0,0.4370278163502614
127,30.0,0.7,100.0,140.0,0.3739579003304243
128,30.0,0.7,1000.0,121.0,0.4078934174031019
129,30.0,0.7,10000.0,137.0,0.39019696166117984
130,35.0,0.7,0.0,155.0,0.4274490463236968
131,35.0,0.7,10.0,91.0,0.423928564414382
132,35.0,0.7,100.0,114.0,0.37051232407490414
133,35.0,0.7,1000.0,87.0,0.449074645837148
134,35.0,0.7,10000.0,138.0,0.3619656655937433
135,40.0,0.7,0.0,96.0,0.45939757488667965
136,40.0,0.7,10.0,132.0,0.44607002412279445
137,40.0,0.7,100.0,70.0,0.41097235431273776
138,40.0,0.7,1000.0,103.0,0.4008463763942321
139,40.0,0.7,10000.0,99.0,0.4200588706880808
140,45.0,0.7,0.0,94.0,0.39057003147900105
141,45.0,0.7,10.0,103.0,0.4045201937357585
142,45.0,0.7,100.0,111.0,0.4020405150949955
143,45.0,0.7,1000.0,104.0,0.44899771735072136
144,45.0,0.7,10000.0,121.0,0.38329502816001576
145,50.0,0.7,0.0,114.0,0.396253348638614
146,50.0,0.7,10.0,86.0,0.3807748860369126
147,50.0,0.7,100.0,106.0,0.37285045348107815
148,50.0,0.7,1000.0,152.0,0.34407262566188973
149,50.0,0.7,10000.0,119.0,0.3859378087023894
